Brand,Model,Year,KM_Driven,Fuel_Type,Mileage,Transmission,Owner_Type,Engine,Seats,Selling_Price
Toyota,Innova,2017,67232,Petrol,28.7,Automatic,Third Owner,796,5,565388
Kia,Carens,2019,53101,Petrol,15.8,Automatic,Third Owner,1248,6,659550
Tata,Punch,2019,198125,Diesel,16.7,Manual,Third Owner,2179,7,531045
Maruti,WagonR,2015,129325,Diesel,20.8,Manual,Third Owner,1248,5,342231
Kia,Carens,2019,131040,Petrol,20.3,Automatic,First Owner,2179,5,639789
Kia,Seltos,2018,,Petrol,18.5,Manual,Third Owner,1498,7,613366
Toyota,Innova,2016,190988,Diesel,24.7,Automatic,Third Owner,1498,7,361881
Toyota,Innova,2023,55860,Diesel,27.3,Automatic,First Owner,1497,4,853229
Toyota,Glanza,2025,46471,Petrol,15.6,Manual,Second Owner,,6,830509
Toyota,Innova,2017,167158,CNG,23.7,Automatic,First Owner,796,4,362473
Hyundai,i20,2012,78260,CNG,29.6,Automatic,First Owner,998,5,414575
Maruti,Baleno,2012,150419,Diesel,22.3,Manual,First Owner,796,6,182876
Honda,Amaze,2010,17459,Diesel,28.2,Automatic,Third Owner,1197,6,455064
Tata,Harrier,2025,38516,Petrol,12.9,Manual,Second Owner,,6,856942
Tata,Nexon,2014,62025,Diesel,16,Automatic,Second Owner,796,6,441876
Honda,City,2015,175642,CNG,23.5,Manual,Third Owner,1498,5,351066
Tata,Nexon,2014,170981,Petrol,19.6,Manual,Second Owner,998,4,254977
Kia,Carens,2025,161563,CNG,24.2,Automatic,First Owner,1497,5,754464
Toyota,Glanza,2023,57713,Petrol,20.5,Manual,Third Owner,998,4,793574
Honda,City,2025,163504,CNG,16.4,Manual,First Owner,,7,690023
Tata,Punch,2012,162394,CNG,18.3,Manual,First Owner,2179,4,349471
Honda,WR-V,2018,136960,Petrol,14,Automatic,First Owner,1997,7,600785
Maruti,Baleno,2022,86182,CNG,16.6,Automatic,Third Owner,796,7,704361
Kia,Seltos,2016,67471,CNG,26.4,Manual,Second Owner,796,4,446802
Mahindra,Scorpio,2011,113105,CNG,19.4,Manual,Second Owner,2179,5,401735
Kia,Sonet,2025,54422,Diesel,24.1,Manual,Third Owner,1498,6,902324
Honda,Amaze,2020,51603,Petrol,25.7,Manual,Third Owner,1997,7,838188
Toyota,Glanza,2022,36432,Petrol,19.3,Automatic,Second Owner,1197,7,746498
Kia,Seltos,2014,82686,Petrol,27.3,Manual,Second Owner,1997,4,552377
Mahindra,Bolero,2011,194523,CNG,15.6,Automatic,First Owner,1248,4,161435
Mahindra,XUV700,2017,42877,Petrol,16.6,Automatic,Third Owner,2179,5,738940
Kia,Sonet,2013,140038,Petrol,16.1,Automatic,Third Owner,2179,6,443488
Maruti,Swift,2025,32043,CNG,16.8,Manual,Second Owner,1498,6,901238
